slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/ada/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/ada/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/ada/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/ada/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/cardano)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/cardano)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/cardano)""]",mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
